id,origine,destination,poids,delai_minutes,niveau_service,type_client,fragilite,confidentialite,description
C001,CASA,RAB,1200,480,standard,courant,fragile,normale,Lot de cartons - distribution regionale
C002,CASA,MRK,3400,600,express,grand_compte,tres_fragile,normale,Lot palettise urgent
C003,CASA,AGA,2800,1080,standard,courant,standard,normale,Marchandises generales
C004,CASA,FES,1500,1440,economique,courant,standard,normale,Lot non urgent
C005,CASA,KEN,600,300,express,courant,tres_fragile,sensible,Reassort urgent
C006,CASA,ELJ,2100,420,standard,courant,standard,normale,Marchandises generales
C007,CASA,TNG,4200,720,standard,courant,standard,normale,Lot pour reexpedition
C008,CASA,MEK,1750,900,standard,courant,standard,normale,Marchandises generales
C009,CASA,SAF,950,960,economique,courant,standard,normale,Lot non urgent
C010,CASA,ESS,1300,1020,standard,courant,fragile,normale,Marchandises generales
C011,CASA,OUJ,2600,1680,economique,courant,standard,normale,Longue distance est
C012,CASA,BEN,1850,660,standard,courant,standard,normale,Marchandises generales
C013,RAB,FES,900,480,standard,grand_compte,standard,normale,Reassort agence
C014,RAB,KEN,450,300,standard,courant,fragile,normale,Distribution locale agence
C015,MRK,AGA,2200,540,standard,courant,standard,normale,Distribution sud
C016,MRK,ESS,1100,720,economique,courant,standard,normale,Distribution sud
C017,FES,OUJ,1600,600,standard,courant,standard,normale,Distribution est
C018,FES,MEK,700,240,express,courant,tres_fragile,normale,Reassort urgent
C019,TNG,KEN,1400,480,standard,courant,standard,normale,Distribution nord
C020,CASA,MRK,5200,840,standard,courant,standard,normale,Lot volumineux
C021,CASA,MAD,8500,2880,express,grand_compte,fragile,sensible,Export - lot complet Espagne
C022,CASA,BCN,6200,4320,standard,courant,standard,normale,Export - Catalogne
C023,CASA,PAR,7400,5760,standard,courant,fragile,sensible,Export - marche de Rungis
C024,TNG,MAD,9100,2160,express,grand_compte,fragile,sensible,Export urgent - proximite port
C025,TNG,VLC,5600,3600,standard,courant,standard,normale,Export - Levant espagnol
C026,CASA,LYO,4800,5760,economique,courant,standard,normale,Export - Rhone-Alpes
C027,CASA,PER,3900,4320,standard,courant,fragile,normale,Export - plateforme Saint-Charles
C028,TNG,BCN,7200,3600,standard,courant,standard,normale,Export - Catalogne
