origine,destination,distance_km,temps_base_min,mode,franchit_frontiere,cout_fixe_dh,niveau_trafic,attente_frontiere_min,bloquee,profil_trafic
CASA,RAB,87,70,ROUTIER,False,30,1.2,0,False,ACCES_URBAIN
CASA,KEN,125,95,ROUTIER,False,45,1.2,0,False,AUTOROUTE
RAB,KEN,40,35,ROUTIER,False,15,1.1,0,False,AUTOROUTE
KEN,TNG,215,150,ROUTIER,False,90,1.0,0,False,AUTOROUTE
RAB,TNG,250,175,ROUTIER,False,105,1.0,0,False,AUTOROUTE
TNG,TMED,45,40,ROUTIER,False,20,1.0,0,False,ACCES_URBAIN
RAB,MEK,140,105,ROUTIER,False,55,1.0,0,False,NATIONALE
MEK,FES,60,50,ROUTIER,False,25,1.0,0,False,AUTOROUTE
FES,OUJ,330,240,ROUTIER,False,110,1.0,0,False,AUTOROUTE
CASA,ELJ,100,80,ROUTIER,False,35,1.1,0,False,ACCES_URBAIN
ELJ,SAF,145,120,ROUTIER,False,0,1.0,0,False,NATIONALE
SAF,ESS,130,115,ROUTIER,False,0,1.0,0,False,NATIONALE
ESS,AGA,175,155,ROUTIER,False,0,1.0,0,False,NATIONALE
CASA,MRK,240,165,ROUTIER,False,80,1.1,0,False,AUTOROUTE
MRK,AGA,250,190,ROUTIER,False,85,1.0,0,False,NATIONALE
MRK,ESS,175,150,ROUTIER,False,0,1.0,0,False,NATIONALE
MRK,ELJ,195,160,ROUTIER,False,0,1.0,0,False,NATIONALE
CASA,BEN,220,165,ROUTIER,False,70,1.0,0,False,AUTOROUTE
BEN,MRK,190,150,ROUTIER,False,0,1.0,0,False,NATIONALE
BEN,FES,230,190,ROUTIER,False,0,1.0,0,False,NATIONALE
TMED,ALG,30,90,MARITIME,True,4500,1.0,120,False,MARITIME
ALG,MAD,680,450,ROUTIER,False,350,1.0,0,False,AUTOROUTE
MAD,VLC,355,230,ROUTIER,False,180,1.0,0,False,AUTOROUTE
VLC,BCN,350,225,ROUTIER,False,190,1.0,0,False,AUTOROUTE
MAD,BCN,620,400,ROUTIER,False,320,1.0,0,False,AUTOROUTE
BCN,PER,190,130,ROUTIER,True,120,1.0,15,False,AUTOROUTE
PER,LYO,470,300,ROUTIER,False,260,1.0,0,False,AUTOROUTE
LYO,PAR,465,300,ROUTIER,False,250,1.0,0,False,AUTOROUTE
